clee,id,nombre,razon_social,clase_actividad,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,cp,ubicacion,telefono,correo_e,sitio_internet,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,ageb,manzana,clase_actividad_id,edificio_piso,sector_actividad_id,subsector_actividad_id,rama_actividad_id,subrama_actividad_id,edificio,tipo_asentamiento,fecha_alta,areageo,ubicacion caps,municipio,estado
19019461211000101000000000U0,8696093,5 LIQUOR STORE,COMERCIALIZADORA ALAMO SA DE CV,Comercio al por menor de vinos y licores,0 a 5 personas,AVENIDA,JOSE VASCONCELOS,400,1,ZONA LA ALIANZA,66220,"SAN PEDRO GARZA GARCÍA, San Pedro Garza García, NUEVO LEÓN   ",8145934960,5PALACIO@LIQUORSTORE.COM,,Fijo,-100.3609982,25.65236726,,,,242,13,461211,,46,461,4612,46121,,COLONIA,2019-11,190190001,SAN PEDRO GARZA GARCÍA, San Pedro Garza García, NUEVO LEÓN   
19038461212000531000000000U6,3045299,AARON DEPOSITO,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,DOCTOR JOSE MARIA PARAS BALLESTEROS,,,MONTEMORELOS,67500,"MONTEMORELOS, Montemorelos, NUEVO LEÓN   ",8262637493,,,Fijo,-99.83419706,25.18728333,,,,394,1,461212,,46,461,4612,46121,,CIUDAD,2010-07,190380001,MONTEMORELOS, Montemorelos, NUEVO LEÓN   
19021461212002101000000000U2,2951551,ABARR0TES LA ESQUINA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ANTIGUO CAMINO A SAN JOSE DE LOS SAUCES,100,,JOSE ALFREDO MARTINEZ SANCHEZ,66052,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",8118101112,,,Fijo,-100.2876892,25.80990511,,,,1056,1,461212,,46,461,4612,46121,,COLONIA,2014-12,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19039461110007611000000000U3,3035223,ABARROTES,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,NUEVA INDEPENDENCIA,,,INDEPENDENCIA,64720,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.3250749,25.6576544,,,,1953,31,461213,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19039461110048091000000000U9,3036867,ABARROTES,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,CALLE DE LOS DEPORTISTAS,5321,0,FOMERREY 35,64209,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.3820214,25.79259806,,,,3305,42,461213,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19026461212004432001000000U8,2985529,ABARROTES 3 CAMINOS,,Comercio al por menor de cerveza,11 a 30 personas,CALLE,ENREDADERA,1004,,TRES CAMINOS NTE,67190,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",8183613611,DEPOSITO_3CAMINOS@HOTMAIL.COM,,Fijo,-100.1843869,25.66808245,,,,1480,57,461212,,46,461,4612,46121,,COLONIA,2014-12,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19031461212001851000000000U2,3017477,ABARROTES ALEJANDRA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,NARANJOS,241,,LOS NARANJOS,67288,"JARDINES DE LA SILLA (JARDINES), Juárez, NUEVO LEÓN   ",,,,Fijo,-100.1746033,25.63486366,,,,321,6,461212,,46,461,4612,46121,,COLONIA,2010-07,190310045,JARDINES DE LA SILLA (JARDINES), Juárez, NUEVO LEÓN   
19038461212001071000000000U2,8778332,ABARROTES AMADOR,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,EMPACADORA,,,LERDO DE TEJADA,67530,"MONTEMORELOS, Montemorelos, NUEVO LEÓN   ",,,,Fijo,-99.81506136,25.18531212,,,,426,2,461212,,46,461,4612,46121,,BARRIO,2019-11,190380001,MONTEMORELOS, Montemorelos, NUEVO LEÓN   
19009461212000321000000000U3,3020959,ABARROTES ANDRES,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MELESIO TAMAYO,,,EMILIANO ZAPATA 1 SECTOR,67485,"CADEREYTA JIMÉNEZ, Cadereyta Jiménez, NUEVO LEÓN   ",82848967,,,Fijo,-100.0182903,25.57323176,,,,640,38,461212,,46,461,4612,46121,,COLONIA,2010-07,190090001,CADEREYTA JIMÉNEZ, Cadereyta Jiménez, NUEVO LEÓN   
19039461110057922010000000U3,2938229,ABARROTES ANDRESITO,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,JAVIER HUITMEA,7219,0,VALLE DE SANTA LUCIA,64230,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.3479109,25.74233823,,,,3432,28,461213,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
